Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
168,2018-06-19T03:14:59.678,35.7645,129.1927,14.6,0.9
169,2018-06-20T06:06:56.403,35.7601,129.189,14.4,1.3
170,2018-06-20T07:35:14.027,35.6206,129.2115,3.9,0.8
171,2018-06-20T14:20:24.691,35.2942,129.0436,14.6,1.7
172,2018-06-20T16:57:01.797,35.7082,129.3495,11.7,0.4
173,2018-06-21T12:56:26.117,35.7977,129.4165,14.9,1.6
174,2018-06-23T14:56:32.989,35.8097,129.6885,18.2,1.1
175,2018-06-25T13:06:57.620,35.7592,129.1853,13.7,0.3
176,2018-06-25T16:03:14.560,35.5442,128.8925,9.5,0.9
177,2018-06-26T02:54:39.203,35.9294,129.2764,51.8,1.3
178,2018-06-26T03:28:46.830,35.6958,129.1995,13,0.1
179,2018-06-30T17:54:50.263,35.986,129.6413,18.6,1.2
180,2018-07-02T17:03:22.191,35.7638,129.1906,16.2,0.4
181,2018-07-04T04:19:25.941,35.7286,129.0409,12.3,0.8
182,2018-07-04T06:47:32.349,35.7575,129.1874,15.3,0.7
183,2018-07-05T07:10:59.813,35.6157,129.2146,3.5,0.8
184,2018-07-06T05:50:17.463,35.756,129.1886,15.3,1.1
185,2018-07-06T23:04:35.988,35.7608,129.1904,15.9,1.2
186,2018-07-07T21:25:58.891,35.7633,129.1916,16.4,0.9
187,2018-07-08T14:13:38.970,35.7573,129.19,15.8,1.2
188,2018-07-08T17:52:22.809,35.7139,129.4113,13.6,0.3
189,2018-07-09T06:30:51.388,35.7649,129.1959,16.1,2.1
190,2018-07-09T15:31:47.284,35.7592,129.1872,16,0.5
191,2018-07-10T10:38:25.857,35.7596,129.1918,15.8,0.5
192,2018-07-13T05:40:09.308,35.7512,129.1963,14.1,0.2
193,2018-07-16T06:34:53.628,35.7615,129.191,15.8,1.1
194,2018-07-18T12:38:52.728,35.7673,129.1945,14.8,N/A
195,2018-07-18T18:13:11.472,35.7699,129.1913,13.8,0.6
