Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2014,9,17,6,1,12,35.6943,129.36,-0.33,7.32
2014,9,20,2,45,4,35.6846,129.3699,0.72,10.61
2014,9,20,3,9,4,35.6877,129.3756,1.0,10.98
2014,9,20,3,18,58,35.6817,129.3667,0.35,10.26
2014,9,20,3,29,51,35.6828,129.3744,0.1,11.25
2014,9,20,22,6,34,35.6874,129.3743,0.46,11.09
2014,9,20,23,33,45,35.6844,129.3583,1.08,11.9
2014,9,21,2,30,2,35.6982,129.3558,-0.2,8.0
2014,9,21,21,21,36,35.7964,129.4167,0.25,15.39
2014,9,21,21,23,24,35.7992,129.4112,1.11,14.58
2014,9,21,21,24,5,35.7971,129.4123,0.92,14.42
2014,9,21,21,25,3,35.7979,129.4111,0.89,14.58
2014,9,21,21,26,20,35.7983,129.4104,0.75,14.79
2014,9,21,21,29,7,35.7989,129.4107,0.87,14.48
2014,9,21,21,31,38,35.7996,129.4106,0.81,14.31
2014,9,21,21,40,36,35.7965,129.4142,0.2,14.68
2014,9,21,21,42,54,35.8018,129.4132,2.52,14.38
2014,9,21,21,43,30,35.7848,129.4416,0.6,10.82
2014,9,21,21,44,22,35.7997,129.4116,0.92,14.45
2014,9,21,21,49,39,35.803,129.4143,0.83,14.2
2014,9,21,21,52,36,35.7954,129.4118,0.03,15.02
2014,9,21,21,54,33,35.8017,129.4121,0.67,14.13
2014,9,21,22,34,28,35.7998,129.4112,1.98,14.76
2014,9,21,22,34,53,35.8034,129.4162,1.45,14.14
2014,9,22,1,46,42,35.7944,129.4135,0.26,14.84
2014,9,22,1,57,18,35.7992,129.415,0.09,13.85
2014,9,22,4,41,17,35.7963,129.4138,0.22,14.74
2014,9,22,6,24,57,35.7995,129.4121,2.66,14.97
2014,9,22,6,45,51,35.7977,129.4299,0.56,15.7
2014,9,22,6,50,55,35.7973,129.415,0.56,14.64
2014,9,22,14,23,1,35.803,129.4144,1.83,14.16
2014,9,22,15,19,16,35.7985,129.4128,1.04,14.82
2014,9,23,6,33,6,35.7696,129.3815,1.32,12.9
2014,9,23,14,5,13,35.7718,129.3069,-0.14,6.97
2014,9,23,15,27,57,35.8026,129.4179,3.99,16.0
2014,9,23,15,29,32,35.8018,129.4162,1.0,13.97
2014,9,23,15,47,37,35.7961,129.4125,0.83,14.99
2014,9,23,15,51,27,35.7951,129.4133,0.82,14.95
2014,9,23,20,30,56,35.7988,129.4115,1.19,14.42
2014,9,23,23,18,59,35.8041,129.4172,-0.06,13.72
2014,9,24,10,30,29,35.7987,129.4103,1.16,14.71
2014,9,26,3,21,12,35.8028,129.4174,0.51,13.64
2014,9,26,15,0,39,35.7969,129.4133,0.8,14.87
2014,9,27,2,16,9,35.8015,129.4151,0.59,14.08
2014,9,27,7,6,47,35.7977,129.4102,1.43,14.62
2014,9,27,15,55,2,35.8039,129.4157,1.86,14.15
2014,9,27,17,54,44,35.7999,129.4116,0.69,14.12
2014,9,27,23,56,7,35.6374,129.3742,0.57,11.42
2014,9,28,2,50,56,35.7937,129.4243,-0.0,15.69
2014,9,28,12,0,22,35.6374,129.3783,0.51,11.83
2014,9,28,12,19,14,35.8019,129.4197,0.55,14.72
2014,9,28,17,32,10,35.6796,129.3675,1.86,11.2
2014,9,29,2,37,18,35.6368,129.3782,0.8,11.71
