id,event_idx
202117,12835
202118,12841
202120,12844
202121,12847
202122,12848
202123,12851
202124,12859
202125,12860
202126,12862
202127,12864
202128,12875
202130,12882
202131,12885
202132,12891
202134,12897
202135,12898
202136,12909
202137,12910
202138,12911
202139,12912
202140,12915
202141,12919
202142,12924
202143,12926
202144,12929
202145,12940
202146,12943
202147,12944
202148,12947
202149,12948
202150,12949
202151,12950
202152,12954
202153,12956
202154,12957
202155,12961
202156,12962
202157,12965
202158,12973
202159,12976
202160,12978
202161,12980
202162,12983
202163,12989
202164,12990
202165,12996
202166,13002
202167,13003
202168,13006
202169,13008
202170,13013
202171,13014
202173,13025
202174,13027
202175,13028
202176,13029
202177,13033
202178,13034
202179,13035
202180,13036
202181,13037
202182,13038
202183,13041
202184,13042
202185,13056
202186,13059
202187,13068
202188,13078
202189,13084
202190,13089
202191,13101
202192,13102
202193,13105
202194,13112
202195,13113
202196,13116
202197,13117
202198,13121
202199,13123
202200,13124
202201,13130
202202,13132
202203,13134
202204,13135
202209,13147
202210,13151
202212,13158
202213,13159
202214,13160
202215,13161
202216,13165
202217,13170
202218,13172
202219,13173
202220,13175
202221,13176
202222,13186
202223,13198
202224,13213
202225,13215
202227,13217
202228,13218
202229,13220
202230,13234
202231,13238
202232,13244
202233,13248
202234,13249
202235,13252
202236,13262
202237,13266
202238,13272
202239,13280
202240,13289
202241,13293
202242,13296
202243,13315
202245,13322
202246,13323
202247,13324
202248,13325
202249,13330
202250,13335
202251,13336
202252,13338
202253,13339
202254,13342
202255,13343
202256,13344
202258,13348
202259,13350
202260,13352
202261,13357
202262,13358
202263,13359
202264,13362
202265,13363
