event_idx,time,lat,lon,depth,magnitude
569,2014-04-01 03:28:13.190000+00:00,35.8523,129.3583,4.16,0.1479496163266364
570,2014-04-01 08:12:36.890000+00:00,35.6876,129.3813,13.17,0.7813016171765166
571,2014-04-02 02:08:07.990000+00:00,35.8345,129.2865,13.17,0.5154421165725405
572,2014-04-07 02:33:06.790000+00:00,35.7192,129.3988,13.35,2.4949969012563566
573,2014-04-07 13:04:01.780000+00:00,35.7832,129.3043,9.19,0.3537719053974408
574,2014-04-07 17:03:43.460000+00:00,35.7248,129.3866,14.72,0.8808929058398546
575,2014-04-10 08:25:44.560000+00:00,35.6908,129.3817,13.61,0.9828078319567496
576,2014-04-12 07:22:21.440000+00:00,35.7801,129.3076,9.68,0.683379817731744
577,2014-04-13 21:32:15.920000+00:00,35.785,129.3059,9.31,0.4199564029572084
578,2014-04-15 03:14:38.300000+00:00,35.6786,129.3656,9.18,0.9824025854063918
580,2014-04-22 15:56:06.810000+00:00,35.7192,129.3479,8.16,0.0073877531459227
581,2014-04-24 22:47:37.590000+00:00,35.776,129.3626,15.41,0.4065509277326301
582,2014-04-25 00:14:11.910000+00:00,35.7749,129.3886,11.6,0.5169789059672867
584,2014-04-27 22:46:51.830000+00:00,35.7794,129.3598,15.16,0.583746985246137
585,2014-04-28 00:57:00.880000+00:00,35.7002,129.3659,9.17,0.6056000154404939
587,2014-04-28 10:58:14.220000+00:00,35.7824,129.3699,15.03,0.4516398615439297
588,2014-04-29 00:37:11.020000+00:00,35.6441,129.5492,17.47,0.7546849483747692
589,2014-04-30 20:33:34.850000+00:00,35.7895,129.4471,9.49,0.4989004870438882
590,2014-05-04 23:00:57.300000+00:00,35.7849,129.3043,9.26,0.8907674921216114
592,2014-05-09 04:16:40.660000+00:00,35.787,129.3792,12.79,0.7553781871540242
595,2014-05-23 03:23:58.360000+00:00,35.7968,129.3877,13.85,
598,2014-05-25 03:14:09.580000+00:00,35.7061,129.2796,6.22,-0.1025779057551161
600,2014-05-25 23:20:10.290000+00:00,35.744,129.3799,12.44,0.6309135204467378
603,2014-06-01 03:08:34.680000+00:00,35.7353,129.2795,6.9,0.0102411943324538
606,2014-06-05 13:17:19.750000+00:00,35.6446,129.3746,8.45,0.2167177013805858
607,2014-06-05 19:48:18.690000+00:00,35.7401,129.4165,13.2,0.4844266116436554
609,2014-06-07 18:37:26.700000+00:00,35.7393,129.4241,6.25,-0.2672357340341609
610,2014-06-07 18:54:58.820000+00:00,35.7854,129.3808,12.85,0.1985282381438118
611,2014-06-07 20:52:11.870000+00:00,35.787,129.3791,12.93,1.8496535019029328
612,2014-06-08 03:17:19.530000+00:00,35.7305,129.4097,7.4,-0.0987405588956466
617,2014-06-18 09:52:45.160000+00:00,35.685,129.3717,10.86,0.0928957730851451
618,2014-06-20 06:38:17.890000+00:00,35.7092,129.3768,10.24,0.591928065044679
619,2014-06-22 02:16:08.100000+00:00,35.7128,129.3553,9.81,0.7024690480398732
623,2014-06-24 20:18:48.110000+00:00,35.7853,129.3656,14.75,0.6368783960723623
626,2014-06-29 17:18:37.150000+00:00,35.7431,129.4168,12.55,0.3309480654371939
629,2014-07-06 11:02:32.610000+00:00,35.7963,129.3793,10.82,0.407533822208971
633,2014-07-12 22:48:01.720000+00:00,35.7592,129.3849,14.16,0.4597422248008419
637,2014-07-16 09:18:13.120000+00:00,35.7843,129.3736,6.32,1.1661581588273924
638,2014-07-16 09:57:50.400000+00:00,35.7575,129.3955,9.53,0.1919876296619519
640,2014-07-19 18:52:47.530000+00:00,35.7183,129.3924,5.5,0.2529855841468433
643,2014-07-26 20:35:13.550000+00:00,35.7842,129.3691,14.8,-0.1340034976077514
644,2014-07-28 12:29:08.610000+00:00,35.8275,129.4091,12.65,0.7320766788703674
645,2014-07-30 20:57:15.300000+00:00,35.7249,129.4026,12.22,0.5378319184163182
646,2014-07-30 21:54:16.440000+00:00,35.7243,129.4008,12.07,0.7012985696450875
647,2014-07-31 00:09:27.560000+00:00,35.7232,129.4006,12.03,0.7471002171947645
648,2014-07-31 03:13:05.690000+00:00,35.7238,129.4007,11.72,0.8038518567353192
652,2014-08-12 18:31:10.920000+00:00,35.8162,129.4091,13.51,0.2391851277541083
653,2014-08-13 02:24:15.650000+00:00,35.8181,129.4035,13.4,0.6171186150252546
654,2014-08-15 09:28:46.250000+00:00,35.784,129.3646,14.57,0.3873179036667024
655,2014-08-25 15:19:34.830000+00:00,35.785,129.3806,12.99,0.3747464139864116
657,2014-08-30 03:01:12.120000+00:00,35.7223,129.342,6.63,0.2935548532520502
