family_id,n,slug,status,n_relocated,t_seconds,stage_failed,error_msg,timestamp
583,6,f583_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
585,3,f585_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
594,4,f594_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
595,4,f595_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
613,6,f613_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
647,3,f647_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
690,6,f690_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
694,3,f694_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
711,5,f711_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
731,3,f731_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
732,4,f732_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
738,35,f738_reuse,done_cached,35,0.0,,,2026-06-11 21:39:31
776,8,f776_reuse,done_cached,8,0.0,,,2026-06-11 21:39:32
785,4,f785_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
790,3,f790_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
803,4,f803_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
804,4,f804_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
809,5,f809_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
813,3,f813_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
827,3,f827_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
852,3,f852_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
856,9,f856_reuse,done_cached,8,0.0,,,2026-06-11 21:39:31
880,3,f880_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
886,6,f886_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
909,3,f909_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
928,3,f928_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
929,7,f929_reuse,done_cached,6,0.0,,,2026-06-11 21:39:32
