Station,Start,End,PCA_Median,PCA_MAD,PCA_Mean,PCA_Stdev,PCA_DataNum,MinT_Median,MinT_MAD,MinT_Mean,MinT_Stdev,MinT_DataNum
N077,2019-03-06,2020-02-05,30.52,3.57,29.87,6.28,65,29.99,2.51,29.08,5.07,70
N077,2020-02-13,2024-12-31,16.13,4.83,16.34,5.37,66,17.12,4.57,16.54,5.38,71
N078,2019-03-06,2019-10-16,355.32,3.72,356.84,5.52,36,357.24,3.49,357.37,5.89,36
N078,2019-11-08,2024-12-31,350.56,4,350.99,6.33,54,349.41,4.02,349.57,6.21,55
N079,2019-03-02,2020-01-19,1.06,6.44,0.41,8.8,40,358.41,5.2,358.91,7.16,35
N079,2020-02-13,2024-12-31,348.24,4.02,348.21,5.6,48,348.15,3.43,347.53,5.17,48
N080,2019-03-02,2019-10-31,3.44,2.13,3.57,3.41,60,3.76,2.48,3.39,3.57,61
N080,2019-11-08,2024-12-31,357.91,3.33,357.59,5.08,87,357.32,3.51,356.95,4.62,88
N081,2019-03-02,2024-12-31,3.53,3.61,2.81,6.35,128,2.77,3.39,1.79,6.2,132
N082,2019-03-28,2019-11-04,351.33,2.45,352.17,4.12,39,351.74,2.61,351.74,4.14,35
N082,2020-01-19,2024-12-31,10.27,2.47,11.13,3.91,49,10.97,2.47,10.8,4.71,59
N083,2019-03-02,2019-10-31,322.55,2.34,322.18,3.36,56,322.61,2.58,322.11,3.83,58
N083,2019-11-08,2024-12-31,357.51,2.93,357.48,4.04,80,357.11,2.85,356.76,4.28,83
N084,2019-03-02,2019-10-29,347.18,2.78,347.06,3.72,53,347.31,2.56,347.03,3.27,53
N084,2019-11-08,2024-12-31,293.01,2.99,293.04,4.65,77,292.66,2.29,292.55,3.84,73
N085,2019-06-01,2024-12-31,0.96,1.96,1.41,3.07,63,1.04,2.68,0.63,3.8,67
N086,2019-03-20,2020-01-26,9.59,16.79,10.08,22.04,58,10.66,17.22,10.89,21.52,61
N086,2020-02-05,2024-12-31,346.86,2.26,347.3,3.53,69,346.69,2.33,346.5,3.41,68
N087,2019-03-02,2019-10-21,10.06,4.79,11.1,6.34,38,9.7,3.74,10.17,6.14,42
N087,2019-11-08,2024-12-31,350.48,2.89,349.72,4.97,63,350.09,3.36,349.68,5.65,64
N088,2019-03-20,2024-12-31,353.48,2.5,353.57,3.89,124,353.86,2.02,354.05,3.23,125
N089,2019-03-20,2019-10-31,352.8,2.63,353.03,4.57,51,353.12,2.87,353.3,4.83,49
N089,2019-11-08,2024-12-31,30.07,2.42,30.19,3.23,75,30.15,2.12,30.38,2.81,72
N090,2019-03-02,2019-03-10,7.35,1.85,8.48,2.87,7,7.27,0.78,6.77,1.07,6
N090,2019-03-24,2019-06-19,355.66,3.29,355.59,4.05,29,354.77,1.93,355.3,3.48,26
N090,2019-06-21,2019-12-10,10.47,2.02,11,2.58,29,11.57,1.82,11.65,2.76,33
N090,2020-01-02,2024-12-31,1.31,1.82,1.23,3.19,63,1.68,2.56,1.35,3.47,62
N091,2019-03-02,2020-03-26,344.92,2.48,345.25,4.15,77,345.2,3.27,345.67,4.66,81
N091,2020-04-05,2024-12-31,8.66,2.32,8.44,3.32,71,8.55,2.2,8.49,3.28,70
N092,2019-03-02,2019-06-19,4.83,2.59,5,4.45,35,5.34,2.56,5.65,3.76,33
N092,2019-06-21,2019-10-29,349.83,1.48,349.91,2.3,28,349.9,1.67,349.6,2.14,27
N092,2019-11-08,2024-12-31,345.87,2.64,345.8,4.11,90,345.66,2.56,345.64,3.65,87
N093,2019-03-20,2019-11-04,356.38,2.62,355.99,3.56,50,355.73,2.45,355.82,3.64,46
N093,2019-11-08,2024-12-31,74.77,2.31,75.42,3.62,78,74.33,2.33,75.02,3.61,82
N094,2019-03-28,2019-12-10,351.34,1.98,351.43,3.18,53,351.91,1.94,351.8,2.91,50
N094,2020-01-02,2024-12-31,60.9,2.51,60.81,3.64,64,60.85,2.7,60.92,4.44,64
N095,2019-03-02,2019-12-15,354.47,2.5,354.31,3.45,70,354.53,2.48,354.52,3.68,71
N095,2020-01-02,2024-12-31,18.52,1.81,18.46,2.71,63,18.08,1.9,17.93,3.04,62
N096,2019-03-02,2019-10-31,344.81,2.63,344.76,3.74,63,344.75,2.38,345.01,3.59,61
N096,2019-11-08,2024-12-31,2.53,1.96,2.54,3.25,84,1.72,2.16,1.79,3.52,85
N097,2019-03-20,2019-11-04,357.4,2.64,357.04,3.78,56,357.03,3.23,356.88,4.11,52
N097,2019-11-06,2024-12-31,2,2.43,2.37,3.67,86,1.83,2.49,2.33,4.04,88
N098,2019-03-28,2019-11-04,358.86,2.12,358.79,3.49,48,359.3,2.92,359.04,4.04,48
N098,2019-11-08,2024-12-31,5.55,2.9,5.33,4.66,83,5.29,2.6,5.38,3.87,81
N099,2019-03-02,2019-12-15,337.1,1.96,337.09,3.48,69,337.48,2.09,337.57,3.46,70
N099,2019-12-23,2024-12-31,357.72,2.46,357.21,3.78,78,357.54,2.21,357.18,2.72,74
N100,2019-03-20,2019-07-07,11.96,3.22,11.33,4.45,29,12.7,3.58,11.29,4.76,30
N100,2020-01-07,2024-12-31,353.61,2.79,352.91,4.66,56,353.95,3.66,352.89,5.25,60
N101,2019-03-28,2020-01-07,21.92,5.45,21.18,8.15,51,21.52,4.37,20.98,7.42,51
N101,2020-01-19,2024-12-31,34.48,3.86,34.49,4.83,54,33.09,3.93,33.38,5.36,58
N102,2019-03-28,2019-12-10,0.08,2.72,359.37,4.6,52,359.49,3.71,359.09,4.99,58
N102,2020-01-07,2024-12-31,11.72,3.18,11.26,4.33,61,11.98,2.47,11.48,4.12,65
N103,2019-03-20,2019-10-29,10.21,2.24,10.43,3.66,42,9.62,2.23,10.25,4.11,44
N103,2019-11-14,2020-02-13,346.66,1.1,347.34,1.22,7,346.67,2.22,345.83,3.7,7
N103,2020-02-20,2024-12-31,10.23,2.1,10.41,3.08,68,10.27,2.04,10.47,3.53,71
N104,2019-06-01,2024-12-31,338.62,2.77,338.96,3.93,78,338.1,2.56,338.28,3.98,79
N105,2019-03-24,2020-01-26,7.34,2.92,7.1,4.69,50,7.05,2.88,6.19,5.14,52
N105,2020-02-13,2024-12-31,12.14,3.48,11.84,4.15,54,12.1,3.39,11.83,4.32,56
N106,2019-03-02,2019-11-04,0.73,3.27,0.24,4.74,52,1.19,3.92,0.49,5.48,47
N106,2019-11-08,2020-01-02,300.4,15.81,304.46,14.5,9,290.47,14.47,286.04,26.72,9
N106,2020-01-07,2024-12-31,345.67,3.71,345.65,5.35,68,346.7,3.49,345.9,5.47,63
N107,2019-03-02,2024-12-31,358.78,3.91,358.08,5.91,107,358.95,2.77,358.68,4.94,100
N108,2019-03-20,2019-08-05,2.18,2.6,0.79,4.81,40,1.28,2.41,0.51,4.67,42
N108,2019-09-14,2024-12-31,9.59,4.02,9.81,5.09,78,9.73,3.79,10.11,5.38,80
N109,2019-03-06,2019-11-04,316.77,3.16,318.38,5.04,47,317.99,2.75,318.11,3.94,43
N109,2019-11-08,2020-02-13,1.63,2.23,0.7,3.9,9,0.35,4.56,1.53,7.77,12
N109,2020-03-14,2024-12-31,341.47,3.15,340.94,5.27,55,341.74,2.81,340.79,4.88,55
N110,2019-03-02,2019-10-29,344.76,3.27,345.14,5.44,49,344.73,2.62,343.77,4.74,47
N110,2019-11-08,2024-12-31,24.17,3.12,23.24,5.32,73,23.56,3.24,22.64,5.29,72
N111,2019-03-10,2024-12-31,5.8,2.75,5.6,4.15,135,5.49,2.92,5.65,4.05,137
N112,2019-03-02,2020-01-26,342.64,4.59,342.16,6.4,51,341.11,3.54,340.35,5.74,48
N112,2020-02-13,2024-12-31,3.32,3.97,3.03,5.49,57,3.22,3.87,2.29,6,56
N113,2019-03-02,2020-01-26,357.1,5.05,356.8,6.55,54,357.2,3.66,356.74,5.98,51
N113,2020-02-13,2024-12-31,20.16,3.97,19.5,6.05,49,17.94,3.54,18.43,6.03,43
N114,2019-03-08,2019-11-08,3.96,2.03,3.68,3.03,57,4.27,2.1,3.9,2.99,57
N114,2019-11-14,2024-12-31,356.66,2.47,356.36,3.76,76,356.83,2.75,356.44,4.08,75
N115,2019-03-10,2019-10-29,353.41,3.02,353.11,6.18,37,352.92,2.51,352.78,5.59,32
N115,2019-11-08,2024-12-31,347.66,2.09,348.19,2.96,40,347.49,2.95,347.54,4.3,44
N116,2019-03-24,2019-10-21,6.56,2.22,6.36,3.23,49,6.99,2.34,6.47,3.69,47
N116,2019-11-04,2024-12-31,16.92,2.37,16.21,4.12,77,16.74,2.59,15.98,4.06,81
N117,2019-03-10,2024-12-31,9.82,4.1,9.66,5.35,78,8.97,4.29,9.1,5.26,84
N118,2019-03-02,2019-11-04,9.09,4.06,8.34,5.44,47,8.82,3.87,8.25,5.09,44
N118,2019-11-08,2024-12-31,45.91,4.63,44.77,6.09,63,44.66,4.19,44.16,6.1,66
N119,2019-03-28,2019-10-29,2.44,2.77,2.76,4.05,37,2.43,3.09,3.05,5.24,38
N119,2019-11-08,2024-12-31,16.22,2.86,15.97,4.05,67,15.77,2.49,15.17,3.48,69
N120,2019-03-28,2024-12-31,12.52,3.48,11.92,4.98,103,12.31,3.18,11.88,4.57,99
N121,2019-03-24,2020-02-05,34.82,2.31,34.44,4.18,59,35.27,2.78,34.29,4.68,60
N121,2020-02-13,2024-12-31,357.92,2.6,357.66,3.85,68,357.78,2.81,357.68,4.02,71
N122,2019-03-02,2020-01-26,339.02,3.41,338.35,5.58,50,339.06,3.49,337.96,5.68,57
N122,2020-02-13,2024-12-31,353.28,3.91,353.19,5.32,59,352.28,3.82,352.29,5.18,55
N123,2019-03-28,2024-12-31,351.71,4.52,351.58,6.1,105,352.15,4.92,351.59,6.62,107
N124,2019-03-28,2020-01-07,359.61,3.75,359.7,6.33,42,358.71,3.39,357.68,5.09,42
N124,2020-02-13,2024-12-31,351.87,4.05,351.28,5.12,52,351.56,4,350.98,5.35,52
N125,2019-03-28,2020-01-07,344.18,8.6,346.5,12.02,28,346.32,5.82,346.42,7.13,24
N125,2020-02-13,2024-12-31,6,6.74,6.62,10.77,22,4.73,5.69,4.22,9.48,21
N126,2019-06-01,2024-12-31,28.42,3.86,27.05,5.36,83,26.89,3.82,26.17,5.34,81
N127,2019-06-01,2024-12-31,5.96,4.03,5.9,5.86,69,5.93,4.18,5.27,6.22,72
N128,2019-06-01,2024-12-31,1.31,3.18,0.55,5.27,89,1.63,3.1,0.78,4.49,78
N129,2019-06-01,2024-12-31,344.12,4.47,343.72,7,51,344.31,4.42,343.55,6.62,54
N130,2019-06-01,2024-12-31,23.79,3.91,24.15,5.1,74,23.72,3.68,23.64,4.61,68
N131,2019-06-01,2024-12-31,187.03,2.28,186.91,3.91,80,186.68,2.86,186.91,4.53,80
N132,2019-06-01,2024-12-31,2.21,2.51,2.36,3.5,94,2.75,2.31,2.41,3.24,90
N133,2019-06-01,2019-08-07,16.13,0.93,16.08,1.82,7,16.94,1.47,18.02,3.56,8
