event_idx,event_time,year,n_const,ml_const_inv,ml_const
3159,2016-09-14 16:29:24.990000+00:00,2016,2,-0.15091855681485544,-0.13782423811720057
3160,2016-09-14 16:32:28.900000+00:00,2016,3,0.502527498459229,0.49563026551549105
3161,2016-09-14 16:35:11.050000+00:00,2016,5,0.951468022819738,0.9445707898760001
3162,2016-09-14 16:35:43.390000+00:00,2016,5,0.5195281178472646,0.5198013230539461
3163,2016-09-14 16:50:30.110000+00:00,2016,3,0.12090263806291054,0.0006915627539233193
3164,2016-09-14 16:52:36.060000+00:00,2016,4,0.5945843965083308,0.5831038808446044
3165,2016-09-14 16:56:26.860000+00:00,2016,5,1.1771995808220637,1.2102854511611114
3166,2016-09-14 16:58:20.260000+00:00,2016,1,-0.09409352026741996,-0.10099075321115787
3167,2016-09-14 17:00:25.100000+00:00,2016,1,-0.32588349823881635,-0.29279762789976865
3168,2016-09-14 17:01:55.410000+00:00,2016,5,0.48062828369473976,0.4926344808247906
3169,2016-09-14 17:02:28.080000+00:00,2016,1,-0.7623988041453982,-0.7293129338063505
3170,2016-09-14 17:03:31.800000+00:00,2016,5,1.278108335038294,1.1578972597293067
3172,2016-09-14 17:15:38.910000+00:00,2016,1,-0.6148461126695131,-0.5817602423304654
3175,2016-09-14 17:17:54.780000+00:00,2016,1,0.3524588755525279,0.3506458753019133
3176,2016-09-14 17:23:50.090000+00:00,2016,1,-0.38034520554609785,-0.34725933520705016
3179,2016-09-14 17:35:56.700000+00:00,2016,1,-0.46533242196008584,-0.43224655162103814
3180,2016-09-14 17:37:16.950000+00:00,2016,3,0.3464663618801688,0.23982585133420892
3181,2016-09-14 17:46:05.570000+00:00,2016,4,0.1959109573639936,0.1418085182745254
3182,2016-09-14 17:48:57.260000+00:00,2016,5,0.411752116637758,0.4099391163871434
3183,2016-09-14 18:05:50.100000+00:00,2016,3,0.19289066588688183,0.07267959057789461
3184,2016-09-14 18:06:11.150000+00:00,2016,5,0.22699099056897504,0.22009375762523714
3185,2016-09-14 18:14:59.070000+00:00,2016,1,-0.8472166768730551,-0.8141308065340075
3186,2016-09-14 18:18:31.530000+00:00,2016,4,0.5721193651677499,0.511107327387949
3187,2016-09-14 18:22:29.260000+00:00,2016,5,2.6610460923236956,2.6592330920730807
3188,2016-09-14 18:26:19.530000+00:00,2016,1,0.21200892876515853,0.20511169582142064
3189,2016-09-14 18:26:31.090000+00:00,2016,3,0.24432501682444213,0.1856654505961462
3190,2016-09-14 18:27:45.080000+00:00,2016,5,0.9816858298112003,0.925261721395619
3191,2016-09-14 18:32:05.400000+00:00,2016,2,-0.07103833515686042,-0.11460093764183019
3192,2016-09-14 18:34:14.040000+00:00,2016,5,1.0317313743346157,0.9115202990256285
3193,2016-09-14 18:37:59.070000+00:00,2016,4,0.18318703503813,0.11963288091176741
3195,2016-09-14 18:45:42.600000+00:00,2016,2,-0.23840930736318022,-0.28197190984814996
3196,2016-09-14 18:46:51.730000+00:00,2016,1,-0.6852134749986718,-0.6521276046596242
3197,2016-09-14 18:48:11.960000+00:00,2016,3,0.18242186897389123,0.06221079366490401
3198,2016-09-14 18:48:35.540000+00:00,2016,5,0.5780288386971209,0.6111147090361685
3199,2016-09-14 18:50:26.670000+00:00,2016,1,-0.45757739961320504,-0.42449152927415734
3200,2016-09-14 18:51:03.940000+00:00,2016,2,0.3456673219524752,0.35876164065013005
3201,2016-09-14 18:55:36.440000+00:00,2016,1,-0.6873598419779892,-0.6542739716389415
3203,2016-09-14 19:02:27.760000+00:00,2016,3,0.015229485067993443,0.008332252124255526
3204,2016-09-14 19:10:22.100000+00:00,2016,1,-0.5652719714499088,-0.5321861011108612
3206,2016-09-14 19:11:46.950000+00:00,2016,4,0.12319873282245336,0.1257532149156098
3208,2016-09-14 19:20:23.890000+00:00,2016,5,1.0966997123922575,1.0898024794485195
3209,2016-09-14 19:20:51.090000+00:00,2016,3,0.4343394710747434,0.4274422381310055
3211,2016-09-14 19:46:24.750000+00:00,2016,1,0.48128172476726294,0.47438449182352505
3212,2016-09-14 19:50:46.890000+00:00,2016,1,-0.6569117858468576,-0.62382591550781
3214,2016-09-14 19:57:56.540000+00:00,2016,3,0.25702977793374354,0.13681870262475632
3215,2016-09-14 20:02:28.310000+00:00,2016,2,0.09405288728128813,0.10714720597894303
3216,2016-09-14 20:11:33.400000+00:00,2016,1,0.12777980035320935,0.12088256740947143
3217,2016-09-14 20:16:30.710000+00:00,2016,5,0.7271356002672189,0.72724934889382
3218,2016-09-14 20:23:17.650000+00:00,2016,5,0.9537930910350612,0.9468958580913233
3219,2016-09-14 20:26:56.670000+00:00,2016,3,-0.024027720964272255,-0.030924953908010172
3222,2016-09-14 20:56:34.200000+00:00,2016,4,0.2772963487328969,0.2708220396495621
3223,2016-09-14 21:06:14.410000+00:00,2016,3,0.10645257093918783,-0.01375850436979939
3224,2016-09-14 21:16:07.080000+00:00,2016,5,1.0050330775855256,1.003220077334911
3225,2016-09-14 21:16:36.820000+00:00,2016,5,0.8657423152498478,0.8588450823061099
3226,2016-09-14 21:17:08.960000+00:00,2016,2,0.16495848632188814,0.17805280501954301
3227,2016-09-14 21:28:46.440000+00:00,2016,4,0.22034007502520578,0.176777472540236
3228,2016-09-14 21:43:10.970000+00:00,2016,2,-0.10745879264986069,-0.09436447395220579
3229,2016-09-14 21:50:34.610000+00:00,2016,5,0.8164207755086761,0.8095235425649382
3230,2016-09-14 21:51:18+00:00,2016,5,0.45800558186935714,0.45619258161874254
3231,2016-09-14 21:56:41.280000+00:00,2016,2,0.35361101526500993,0.3667053339626648
3234,2016-09-14 22:17:42.780000+00:00,2016,5,1.4002023190637694,1.279991243754782
3235,2016-09-14 22:19:44.270000+00:00,2016,1,0.11441361429825944,-0.0057974610107277835
3236,2016-09-14 22:25:08.600000+00:00,2016,3,0.5760748733685079,0.6091607437075556
3237,2016-09-14 22:28:53.820000+00:00,2016,2,0.4111016224700311,0.34754746834366856
3238,2016-09-14 22:36:14.190000+00:00,2016,3,0.30642925619145694,0.22893722453792675
3239,2016-09-14 22:38:24.230000+00:00,2016,1,0.5794403882527823,0.5725431553090444
3240,2016-09-14 22:39:38.610000+00:00,2016,3,0.36654664045594343,0.2463355651469562
3241,2016-09-14 22:41:24.260000+00:00,2016,3,0.5910230049093168,0.47388911191254046
3242,2016-09-14 22:46:18.120000+00:00,2016,5,0.5299938031176818,0.523096570173944
3243,2016-09-14 22:48:16.350000+00:00,2016,5,0.297733919256467,0.31831180082916155
3245,2016-09-14 22:56:31.250000+00:00,2016,3,0.30516781604303994,0.2020129115620411
