event_idx,event_time,year,n_used,ml_ufraw,ml_ufcorr
263,2012-04-09 18:40:10.960000+00:00,2012,2,0.44512952576603915,0.32308808639014724
264,2012-04-10 21:05:29.880000+00:00,2012,3,0.5758892714373902,0.3231917802769863
270,2012-04-27 22:38:53.020000+00:00,2012,5,1.138164335995368,1.0820185579868182
274,2012-05-04 20:29:04.910000+00:00,2012,3,0.2906488874693826,0.3686241165740389
279,2012-05-14 08:40:08.770000+00:00,2012,4,0.9478574786200482,0.9862434502878286
287,2012-05-29 05:14:31.900000+00:00,2012,2,0.852730989508626,0.7306895501327342
293,2012-06-14 14:53:45.940000+00:00,2012,2,-0.20522369363339724,-0.3272651330092891
296,2012-06-16 11:00:47.070000+00:00,2012,5,1.381559142489225,1.370972369660347
297,2012-06-16 15:26:31.710000+00:00,2012,2,0.6938449340546461,0.5718034946787542
299,2012-06-26 18:23:38.050000+00:00,2012,2,0.4178655720553854,0.2958241326794935
301,2012-06-30 08:34:15.610000+00:00,2012,1,0.3910686027182246,0.43313933685491957
306,2012-07-08 00:43:29.050000+00:00,2012,6,2.402856365558599,2.498295086152637
307,2012-07-09 20:36:35.830000+00:00,2012,5,0.6212635857106661,0.5208539945121851
308,2012-07-09 23:05:22.590000+00:00,2012,5,1.0433738887337085,1.044550476827788
311,2012-07-21 13:27:06.270000+00:00,2012,3,0.7072834792768128,0.8030945317827418
312,2012-07-21 16:47:30.630000+00:00,2012,4,0.8173285313114554,0.9420514611075307
314,2012-07-24 04:54:59.620000+00:00,2012,4,0.8111073042855111,0.8531780384222062
315,2012-07-29 21:21:35.550000+00:00,2012,3,0.7623177093698512,0.8043884435065463
317,2012-07-31 23:22:10.920000+00:00,2012,2,0.30338441950037176,0.18134298012447983
318,2012-07-31 23:23:39.280000+00:00,2012,3,0.4950099354092858,0.5370806695459808
326,2012-08-22 18:53:28.990000+00:00,2012,2,0.24645968683124594,0.12441824745535404
327,2012-09-04 02:53:52.600000+00:00,2012,4,0.6465975808223988,0.7559600258260838
328,2012-09-04 15:55:40.170000+00:00,2012,2,0.04942238925403945,-0.07261905012185244
329,2012-09-05 17:32:25.150000+00:00,2012,6,1.0596883421363978,1.06621852844064
331,2012-09-10 12:30:15.810000+00:00,2012,4,0.8340245235493584,0.8704220548187158
332,2012-09-10 12:33:22.500000+00:00,2012,5,1.4782950910819252,1.512996300280791
333,2012-09-10 13:06:03+00:00,2012,5,2.539530718719485,2.5341177369786343
334,2012-09-10 19:38:49.280000+00:00,2012,2,0.7791908177573424,0.7398015740408308
335,2012-09-14 21:22:48.730000+00:00,2012,5,0.6362623099416227,0.7089441902302642
338,2012-09-23 13:08:06.930000+00:00,2012,2,0.543091033759109,0.4210495943832172
340,2012-09-26 17:15:39.210000+00:00,2012,2,0.4826540255926437,0.36061258621675174
341,2012-09-27 07:48:16.870000+00:00,2012,2,0.792146160181331,0.6701047208054391
343,2012-10-05 18:22:50.280000+00:00,2012,2,0.7231122914260723,0.6010708520501804
351,2012-10-13 07:44:39.740000+00:00,2012,4,0.7760264013152843,0.8144123729830647
352,2012-10-14 03:29:57.980000+00:00,2012,1,0.5207773060159262,0.2346236931274474
355,2012-10-19 19:59:16.780000+00:00,2012,5,0.990873126658346,0.9840414071547983
356,2012-10-20 06:11:48.130000+00:00,2012,2,0.9318820470118487,0.8098406076359569
361,2012-10-26 20:11:23.180000+00:00,2012,5,0.5388541259092652,0.5649525430478632
366,2012-11-26 04:20:47.340000+00:00,2012,2,0.4793404219159024,0.6190304925677852
368,2012-11-30 03:18:05.600000+00:00,2012,5,1.0869866960747805,1.1290574302114755
371,2012-12-06 05:37:16.290000+00:00,2012,5,1.1111805306293503,1.1858376784626663
377,2013-01-01 20:20:59.700000+00:00,2013,5,0.5348293349328741,0.5920998001413582
380,2013-01-15 21:29:16.650000+00:00,2013,3,0.6408117602108929,0.7583323935393822
381,2013-01-17 06:10:26.180000+00:00,2013,2,0.6634251214589499,0.8031151921108327
383,2013-01-19 21:43:46.210000+00:00,2013,5,0.5408924365834982,0.6942814596961957
384,2013-02-01 00:18:42.730000+00:00,2013,2,0.4185406990127607,0.5432636288088359
386,2013-02-15 14:49:59.170000+00:00,2013,4,2.426346974135373,2.467285614084102
389,2013-02-16 22:14:08.320000+00:00,2013,4,2.027770924459822,2.1362043118923326
393,2013-03-04 12:31:30.210000+00:00,2013,4,0.3362938799602975,0.46101680975637277
394,2013-03-06 22:23:26.190000+00:00,2013,1,0.1147530530068736,0.35206246017394405
395,2013-03-09 02:12:13.560000+00:00,2013,5,1.1083962060028858,1.167869695339911
398,2013-03-16 13:15:02.670000+00:00,2013,5,0.4075072132780786,0.4495779474147736
399,2013-03-16 19:39:28.730000+00:00,2013,5,0.7691094380363432,0.8038106472352089
