event_idx,time,lat,lon,depth,num,gap,rms,erh,erz,qual,year,cluster,magnitude,magnitude_std,n_used,n_total,snr_median,mag_status,ml_all,mv_nP,mv_app,mv_rms,mv_rho,mv_inlier,coherence_fail
1733,2016-09-12 13:47:16.720,35.7615,129.1801,14.19,22,67,0.07,0.3,0.6,A,2016,34,1.9235888677154107,0.2483423540013389,12,13,33.64051859287383,ok,1.9014451498307816,12.0,7.076984213908086,1.7985392608484392,0.6853146853146854,0.0,True
1739,2016-09-12 13:52:21.180,35.7561,129.1933,13.66,11,116,0.06,0.5,0.9,B,2016,34,0.5433116380734694,0.2492208604028691,4,13,3.8381650921853936,ok,0.5433116380734694,5.0,99.0,10.855744776162087,-0.09999999999999999,0.2,True
1748,2016-09-12 13:58:21.580,35.7607,129.1906,14.28,15,117,0.07,0.5,0.7,B,2016,34,0.8857968428593044,0.2739169069094754,9,13,13.00966220944708,ok,0.9164211300989168,12.0,6.455315167583996,7.440737415822528,0.7622377622377624,0.4166666666666667,True
1807,2016-09-12 14:39:20.440,35.762,129.1959,16.37,9,152,0.05,0.5,1.1,B,2016,34,0.4000548697388779,0.1529077113994825,4,13,3.988976925532553,ok,0.4000548697388779,8.0,9.905155174319312,9.611170287923876,-0.11904761904761905,0.0,True
1809,2016-09-12 14:40:37.690,35.7792,129.1975,13.88,14,77,0.1,0.4,0.8,A,2016,34,0.2863749196394061,0.1675570067950279,7,13,5.583867153155091,ok,0.2863749196394061,10.0,6.762686943438085,8.431374079447775,0.6848484848484848,0.0,True
1814,2016-09-12 14:42:42.030,35.761,129.1808,13.83,13,99,0.07,0.4,0.8,B,2016,34,0.7351029941006806,0.0828809487617835,6,13,4.412198998353363,ok,0.7351029941006806,11.0,5.936188387745929,8.346543548545432,0.8090909090909091,0.09090909090909091,True
1842,2016-09-12 15:01:44.100,35.7719,129.2036,15.14,16,115,0.06,0.4,0.7,B,2016,34,0.774406076099275,0.2310370397314514,7,13,9.51680876503633,ok,0.774406076099275,5.0,13.68676194453653,1.5121752826100723,0.49999999999999994,0.4,True
1847,2016-09-12 15:04:27.530,35.7677,129.2088,15.81,6,166,0.01,1.1,1.3,C,2016,34,0.2323125272713968,,1,13,3.4064381257704106,ok,0.2323125272713968,5.0,2.687662280417398,3.0350808081678453,0.9999999999999999,0.2,True
1868,2016-09-12 15:22:57.710,35.7702,129.2044,14.49,6,164,0.02,1.0,1.3,C,2016,34,,,0,13,2.48483593250094,low_snr,,7.0,3.900233156598593,4.8899271546864576,1.0,0.2857142857142857,True
1872,2016-09-12 15:26:29.560,35.7644,129.1944,13.16,6,149,0.01,0.9,1.4,B,2016,34,0.1244012408634645,0.4056344979780703,2,13,3.182065136320801,ok,0.1244012408634645,5.0,8.374098656474242,10.38120457603784,0.39999999999999997,0.0,True
1876,2016-09-12 15:28:50.740,35.7787,129.203,14.24,7,129,0.06,0.7,1.4,B,2016,34,0.4304456503382128,0.1889738851193145,8,13,5.470017974152043,ok,0.4304456503382128,6.0,3.5824983620090936,2.8291722395584746,0.942857142857143,0.16666666666666666,True
1878,2016-09-12 15:30:01.890,35.7665,129.1973,15.84,7,154,0.04,0.6,1.2,B,2016,34,0.3689808435270616,0.209217605361084,7,13,6.056851783778952,ok,0.3689808435270616,6.0,3.873400971843606,3.159206586386351,0.8285714285714287,0.0,True
1900,2016-09-12 15:45:31.100,35.7805,129.204,14.11,9,160,0.06,0.6,0.9,B,2016,34,0.472199541448052,0.0969564388152324,4,13,5.437790362276836,ok,0.4951997710656239,5.0,0.8479796194172626,7.814670915208415,0.9999999999999999,0.2,True
1903,2016-09-12 15:48:56.790,35.7592,129.1939,13.07,6,144,0.05,0.9,1.4,B,2016,34,0.1331496756873631,0.188915149442023,3,13,3.654033220550744,ok,0.1331496756873631,5.0,1.7319233384902033,5.263623372574525,0.8999999999999998,0.2,True
1922,2016-09-12 16:01:27.170,35.7813,129.21,14.83,9,177,0.08,0.6,1.1,B,2016,34,0.2303940634069036,0.2110092263931097,4,13,4.437874495195495,ok,0.2303940634069036,7.0,7.20890541575646,4.480397107151596,0.7142857142857144,0.0,True
1943,2016-09-12 16:23:42.870,35.8368,129.1596,9.76,6,167,0.07,0.8,1.7,B,2016,-1,0.3577450068529418,0.818405147368434,6,13,6.980229238031076,ok,0.4425495276216302,12.0,7.733919135214256,4.893271850052896,0.8181818181818183,0.4166666666666667,True
1948,2016-09-12 16:29:18.840,35.7666,129.2023,14.72,6,158,0.04,1.0,1.4,C,2016,34,0.0276278588574798,0.1216955228687171,4,13,4.483584668595847,ok,0.0276278588574798,5.0,1.483839459369274,6.57431522885045,0.9999999999999999,0.2,True
1949,2016-09-12 16:29:35.020,35.7599,129.1879,14.04,17,69,0.09,0.4,0.7,A,2016,34,0.6552341861577962,0.1672785540809189,9,13,8.002554285331499,ok,0.6552341861577962,10.0,7.175348145693059,6.134849328626285,0.5515151515151515,0.0,True
1957,2016-09-12 16:33:35.400,35.7609,129.1722,14.86,11,113,0.07,0.5,1.0,B,2016,34,0.0852110275348403,0.1449135881689824,5,13,5.684189726141113,ok,0.0852110275348403,6.0,2.1091407230591175,3.896901821384431,1.0,0.16666666666666666,True
1981,2016-09-12 16:55:58.510,35.7601,129.1916,16.26,9,143,0.06,0.6,0.8,B,2016,34,0.2343142927975509,0.2328199444986131,4,13,4.638180263046978,ok,0.2343142927975509,10.0,7.27052477776227,5.850932862729832,0.4545454545454545,0.0,True
1984,2016-09-12 16:58:19.810,35.9044,129.1537,6.4,8,197,0.53,3.3,3.3,D,2016,-1,0.2968916464658701,0.7956641252119795,4,13,4.226883263543141,ok,0.2968916464658701,6.0,5.7101523553857065,10.449578841243131,0.3142857142857143,0.0,True
2018,2016-09-12 17:27:22.410,35.7644,129.1938,13.44,13,90,0.07,0.5,0.8,A,2016,34,0.4119301569812919,0.3925481573639127,3,13,3.907754907897585,ok,0.4119301569812919,7.0,6.758220361792112,8.014825721414839,0.5714285714285715,0.0,True
2043,2016-09-12 17:50:09.340,35.7501,129.1954,15.51,13,114,0.06,0.5,0.8,B,2016,34,0.4318615488521085,0.1536958345518852,5,13,4.498920772842474,ok,0.4318615488521085,5.0,4.9112735908011835,10.444167493239643,0.7,0.4,True
2065,2016-09-12 18:11:08.700,35.7668,129.1929,16.09,18,89,0.07,0.4,0.7,A,2016,34,0.8056817442431036,0.3798354021703618,10,13,20.522530416478627,ok,0.8401730688980362,12.0,6.560039991155869,6.827405330840657,0.7902097902097903,0.0,True
2078,2016-09-12 18:24:19.540,35.7538,129.2044,16.12,6,146,0.06,0.9,1.5,B,2016,34,0.0805802945637432,0.1637364052251088,3,13,3.3554326820755067,ok,0.0805802945637432,5.0,1.8881417434503724,4.247829207266608,0.9999999999999999,0.2,True
2089,2016-09-12 18:34:23.830,35.779,129.1898,13.35,16,79,0.08,0.4,0.8,A,2016,34,0.6258742785108627,0.2507903714729702,10,13,7.960624496514693,ok,0.6258742785108627,9.0,5.39078596689661,4.490149994769145,0.6666666666666667,0.1111111111111111,True
2117,2016-09-12 19:11:06.330,35.7642,129.2061,15.01,6,160,0.01,1.0,1.3,C,2016,34,0.1006683453894632,,1,13,3.109288052515092,ok,0.1006683453894632,6.0,2.639583953635118,4.206857585426473,1.0,0.3333333333333333,True
2143,2016-09-12 19:30:10.700,35.7784,129.206,14.04,9,130,0.06,0.6,1.4,B,2016,34,,,0,13,4.310492680144171,low_snr,,8.0,99.0,6.762185960959227,-0.523809523809524,0.125,True
2180,2016-09-12 20:12:41.140,35.7671,129.1988,14.64,13,113,0.07,0.5,0.8,B,2016,34,0.3108161831164111,0.1705383530098626,5,13,4.187529558916787,ok,0.3108161831164111,5.0,2.1783143586281275,5.059986490334257,0.9999999999999999,0.2,True
2184,2016-09-12 20:15:41.700,35.7783,129.2049,14.37,18,70,0.08,0.4,0.7,A,2016,34,0.9011092166576198,0.2285111817622461,11,13,13.444929123096504,ok,0.9041376857533112,12.0,1.9365003811539339,4.136541872379886,0.9930069930069931,0.0,True
2222,2016-09-12 21:04:20.950,35.7652,129.1887,13.95,12,119,0.05,0.5,0.8,B,2016,34,0.7834268189200839,0.0978222453325787,7,13,5.345474839061967,ok,0.7834268189200839,5.0,8.703783378662195,11.636748189275512,0.19999999999999998,0.0,True
2227,2016-09-12 21:09:00.740,35.7733,129.2026,14.67,14,115,0.07,0.4,0.8,B,2016,34,0.5579913845663917,0.2032896636732772,5,12,4.825639703043105,ok,0.5579913845663917,8.0,4.7334463122545625,5.131654624625361,0.7380952380952381,0.125,True
2276,2016-09-12 22:32:20.480,35.758,129.2036,15.12,10,151,0.13,0.7,1.2,B,2016,34,0.2440852877625768,0.1150473583896547,2,13,4.251758354913356,ok,0.2440852877625768,6.0,8.659795038230904,9.771891745539797,0.3142857142857143,0.0,True
2320,2016-09-12 23:47:47.810,35.7586,129.1962,15.82,14,109,0.06,0.5,0.7,B,2016,34,1.7194376217482148,0.4004489761496232,12,13,43.55964848165363,ok,1.7242854048569352,13.0,6.27162015688817,5.761721797116119,0.7692307692307693,0.38461538461538464,True
2416,2016-09-13 03:13:25.270,35.7636,129.1867,13.71,11,118,0.04,0.5,0.9,B,2016,34,0.4287136945774734,0.1978313828226477,6,13,5.122261283657264,ok,0.4287136945774734,6.0,1.856438070896699,6.307018897777539,0.942857142857143,0.3333333333333333,True
2599,2016-09-13 10:17:54.180,35.7653,129.1824,14.76,12,110,0.05,0.4,0.8,B,2016,34,0.317526783924803,0.4691537101866704,5,13,5.537864121011224,ok,0.3250832847478985,8.0,7.169153882717478,6.865989278509604,0.4523809523809524,0.0,True
2612,2016-09-13 10:49:41.770,35.7286,129.3698,12.01,15,121,0.03,0.4,0.7,B,2016,-1,0.6274047718618616,0.06631693468276,9,13,9.06891755674059,ok,0.6274047718618616,10.0,6.513630332650198,6.562012602733411,0.5151515151515151,0.0,True
2692,2016-09-13 14:08:08.770,35.7669,129.198,15.72,8,155,0.02,0.6,1.1,B,2016,34,0.2426659426762459,0.2446802683934006,2,13,3.7397628931774336,ok,0.415681019679764,5.0,99.0,6.2357354722479945,-0.49999999999999994,0.4,True
2737,2016-09-13 15:35:11.650,35.7587,129.1925,13.87,12,109,0.06,0.5,0.8,B,2016,34,0.0914802343676241,0.35614881457758,2,13,3.688874776332388,ok,0.0914802343676241,7.0,7.717568582900715,10.18067381271633,0.14285714285714288,0.0,True
3146,2016-09-14 15:59:46.260,35.766,129.1823,14.06,14,110,0.07,0.5,0.8,B,2016,34,0.1639514590077901,0.3182196078173195,7,12,7.354395606895885,ok,0.1639514590077901,10.0,5.693640821348754,5.836509795297732,0.8181818181818182,0.0,True
3216,2016-09-14 20:11:33.400,35.7733,129.2044,21.73,7,167,0.51,2.5,3.3,D,2016,-1,0.1245973865474974,,1,12,3.324912789915764,ok,0.1245973865474974,5.0,9.57140928259009,1.4702724917620578,0.7,0.4,True
3228,2016-09-14 21:43:10.970,35.7652,129.2,16.34,9,156,0.05,0.5,1.1,B,2016,34,-0.0682743785290813,0.311653628031181,4,12,3.639364363311036,ok,-0.0682743785290813,5.0,8.008617552077023,1.0788926813832544,0.9999999999999999,0.4,True
3317,2016-09-15 06:15:13.940,35.7593,129.1895,13.27,10,141,0.04,0.5,1.0,B,2016,34,0.1451899788600166,0.2849281584425099,5,12,4.772746856745247,ok,0.1451899788600166,6.0,1.9620751868071773,4.93670185523474,1.0,0.0,True
3702,2016-09-17 10:46:45.570,35.7711,129.1996,14.87,14,85,0.08,0.4,0.8,A,2016,34,0.6263960404403754,0.1672455880132273,7,12,7.988992072523909,ok,0.6263960404403754,9.0,5.5692348063417585,8.169282044093876,0.9,0.4444444444444444,True
3734,2016-09-17 21:04:41.590,35.7656,129.2008,14.32,10,156,0.04,0.5,1.0,B,2016,34,0.2077690710686413,0.1913096595637633,5,12,4.815099119063628,ok,0.2077690710686413,5.0,7.778715322254503,1.3423255608192461,0.9999999999999999,0.2,True
4262,2016-09-24 20:57:02.490,35.7586,129.5891,15.27,10,238,0.03,0.9,1.1,C,2016,-1,0.6265373237498217,,1,12,4.323103198267026,ok,0.6524529875866163,5.0,3.3001169458226007,6.735474583536844,0.8999999999999998,0.2,True
4621,2016-10-02 10:48:29.610,35.7837,129.2046,14.13,15,71,0.07,0.4,0.8,A,2016,34,0.4404804840232252,0.2186647326525981,7,12,8.274864615717586,ok,0.4404804840232252,11.0,6.825829523640114,8.579137884882519,0.7727272727272727,0.18181818181818182,True
4801,2016-10-09 22:02:42.880,35.7578,129.172,15.43,8,201,0.04,1.2,0.8,C,2016,34,0.2659921237854992,0.4193233278315266,2,12,3.787368973412797,ok,0.2659921237854992,5.0,8.044354970627383,1.372329850258455,0.7,0.2,True
5145,2016-10-26 05:30:15.160,35.6958,129.3771,11.12,16,132,0.04,0.5,0.8,B,2016,55,1.0804528370347284,0.1564588809546358,11,13,12.90508335747757,ok,1.1237622063130377,11.0,6.626934512234354,2.1410763171506453,0.6727272727272727,0.0,True
5657,2016-12-14 23:39:53.960,35.7522,129.1912,15.53,14,114,0.1,0.5,0.9,B,2016,34,0.8105892686421756,0.3125098609566412,4,9,5.27906602670789,ok,0.8105892686421756,6.0,6.818465669103418,1.849525150333493,0.7142857142857143,0.0,True
6088,2017-03-25 21:48:56.100,35.8575,129.2789,39.35,7,166,0.39,2.4,3.0,C,2017,-1,0.3959611158100651,,1,11,3.8620024162516216,ok,0.4162160312883081,6.0,7.429508960452172,2.3813591066733304,0.3142857142857143,0.16666666666666666,True
6412,2017-06-23 15:04:17.570,35.6544,128.9607,56.41,9,195,0.31,4.1,2.6,D,2017,-1,0.988172480146524,0.0018313152845585,2,13,10.794334551508102,ok,1.2033710557771615,10.0,99.0,2.876818522829842,-0.18787878787878787,0.3,True
6743,2017-11-15 05:22:32.420,36.1118,129.366,12.67,16,214,0.07,0.5,1.2,C,2017,11,2.227781489263038,0.2445095798078074,7,13,173.39111884212787,ok,2.3595609207269783,13.0,6.219504719304196,4.804746467587449,0.6703296703296703,0.0,True
6744,2017-11-15 05:22:43.790,36.1118,129.3654,12.45,18,213,0.07,0.4,1.1,C,2017,11,2.608310793678362,0.2491191392392485,7,13,25.96274794373061,ok,2.579863067292625,13.0,6.958133056804869,4.993185094149879,-0.21978021978021978,0.0,True
6749,2017-11-15 05:42:47.120,36.1065,129.3555,12.26,11,216,0.07,0.6,1.6,C,2017,11,1.5462913074569031,0.5608477525791791,6,13,11.35060585110855,ok,1.417745732221595,8.0,6.17305000547055,1.205572349041088,0.8571428571428572,0.0,True
6759,2017-11-15 05:56:32.030,35.8392,129.331,21.54,7,159,0.1,1.0,1.7,C,2017,-1,2.756748737776729,0.4405113365841388,9,13,82.73907579681766,ok,2.826054326636997,12.0,8.219661104619494,2.525066573815903,0.6363636363636365,0.0,True
6774,2017-11-15 06:23:36.480,36.1024,129.3491,12.15,14,208,0.06,0.5,1.4,C,2017,11,1.835252164426192,0.4164111150304186,7,13,114.32634831050486,ok,2.279395487695387,9.0,6.274819064523663,6.6967344155970965,0.6333333333333333,0.0,True
6826,2017-11-15 08:03:59.110,36.0914,129.3441,11.84,12,207,0.09,0.6,1.6,C,2017,11,1.4991043821670114,0.2699364727791636,7,13,11.064032877761576,ok,1.4535704851528968,8.0,6.196369784829943,1.3219819768816945,1.0,0.0,True
6863,2017-11-15 09:22:26.760,36.117,129.362,11.86,11,222,0.07,0.7,1.9,C,2017,11,0.8056765015123232,0.1839244467748511,4,13,7.076770765511311,ok,1.0059736274383542,6.0,6.248601821932455,7.475990707782003,0.3714285714285715,0.0,True
6864,2017-11-15 09:22:43.820,35.8435,129.0359,21.9,8,119,0.56,1.9,4.4,C,2017,-1,1.447806609349068,0.3226191298205739,10,13,12.18394328353679,ok,1.4623768262920989,11.0,10.135724781909552,3.217215081557583,0.36363636363636365,0.2727272727272727,True
6874,2017-11-15 09:58:26.130,35.8282,129.3426,22.48,7,142,0.15,1.2,2.0,C,2017,-1,1.8413842370367632,0.4322573545455678,10,13,16.191373881178276,ok,1.824796495968048,10.0,8.621084396893522,2.6317477811255903,0.5636363636363636,0.0,True
6974,2017-11-16 15:37:23.200,35.7028,129.383,17.29,16,122,0.02,0.4,0.6,B,2017,-1,0.8998533237492086,0.250119477880502,8,13,6.642753888429994,ok,0.8381158798152475,9.0,8.2551445009413,3.039624325983069,0.39999999999999997,0.0,True
7111,2017-11-18 16:41:26.910,36.1035,129.3468,13.43,6,213,0.02,0.9,2.4,C,2017,11,0.420243798574161,0.3304656825575472,2,13,3.703661919335,ok,0.6539183236600437,6.0,2.9462526292460742,1.8183788858116876,1.0,0.0,True
7162,2017-11-20 07:11:19.370,36.0997,129.364,12.15,7,215,0.08,0.8,2.3,C,2017,11,1.093192390149737,1.021302109393351,5,13,5.058357403166566,ok,1.093192390149737,5.0,6.076709807711466,5.428501064897556,0.7,0.0,True
7471,2017-12-17 05:35:52.480,35.7411,129.3185,15.14,7,173,0.13,0.8,2.2,C,2017,-1,1.632212382995095,0.232962310683244,5,13,8.746728810216805,ok,1.34224340231926,8.0,21.799529678273615,3.3355428582765003,0.2380952380952381,0.375,True
