net,sta,start,end,n_days
KS,OHBA,2021-11-13,2022-01-04,53
KS,OHBA,2022-01-29,2022-12-31,337
KS,OHBA,2024-11-01,2025-12-31,426
KS,OHBA,2026-01-03,2026-05-09,127
KS,OHBA,2026-05-14,2026-05-14,1
KS,OHBA,2026-05-17,2026-05-17,1
KS,OHBA,2026-07-14,2026-07-16,3
KS,OOJB,2021-11-10,2025-12-31,1513
KS,OOJB,2026-01-03,2026-05-09,127
KS,OOJB,2026-05-14,2026-05-14,1
KS,OOJB,2026-05-17,2026-05-17,1
KS,OOJB,2026-07-14,2026-07-16,3
KS,OPHB,2021-11-13,2022-01-04,53
KS,OPHB,2022-10-02,2022-10-08,7
KS,OPHB,2024-11-01,2025-12-31,426
KS,OPHB,2026-01-03,2026-05-09,127
KS,OPHB,2026-05-14,2026-05-14,1
KS,OPHB,2026-05-17,2026-05-17,1
KS,OPHB,2026-07-14,2026-07-16,3
KS,OSBA,2021-11-08,2025-12-31,1515
KS,OSBA,2026-01-03,2026-05-09,127
KS,OSBA,2026-05-14,2026-05-14,1
KS,OSBA,2026-05-17,2026-05-17,1
KS,OSBA,2026-07-14,2026-07-16,3
KS,OWSA,2021-11-13,2022-01-04,53
KS,OWSA,2022-01-29,2022-12-31,337
KS,OWSA,2024-11-01,2025-12-31,426
KS,OWSA,2026-01-03,2026-05-09,127
KS,OWSA,2026-05-14,2026-05-14,1
KS,OWSA,2026-05-17,2026-05-17,1
KS,OWSA,2026-06-24,2026-06-24,1
KS,OWSA,2026-07-14,2026-07-16,3
KS,PHA,2010-01-01,2011-12-19,718
KS,PHA2,2011-12-20,2022-07-20,3866
KS,PMYA,2021-11-12,2022-01-04,54
KS,PMYA,2022-01-29,2023-06-26,514
KS,PMYA,2023-06-28,2023-12-31,187
KS,PMYA,2024-11-01,2025-12-31,426
KS,PMYA,2026-01-03,2026-05-09,127
KS,PMYA,2026-05-14,2026-05-14,1
KS,PMYA,2026-05-17,2026-05-17,1
KS,PMYA,2026-07-14,2026-07-16,3
KS,SEJAT,2022-11-29,2026-07-16,1326
KS,SKBA,2018-12-19,2025-12-31,2570
KS,SKBA,2026-01-03,2026-05-09,127
KS,SKBA,2026-05-14,2026-05-14,1
KS,SKBA,2026-05-17,2026-05-17,1
KS,SKBA,2026-07-14,2026-07-16,3
KS,SNNA,2018-12-19,2019-03-17,89
KS,SNNA,2022-05-25,2022-05-25,1
KS,SNNA,2024-11-01,2025-12-31,426
KS,SNNA,2026-01-03,2026-05-09,127
KS,SNNA,2026-05-14,2026-05-14,1
KS,SNNA,2026-05-17,2026-05-17,1
KS,SNNA,2026-07-14,2026-07-16,3
KS,ULJ,2010-01-01,2010-11-01,305
KS,ULJ2,2010-11-02,2022-07-20,4279
KS,UNCA,2024-11-01,2025-12-31,426
KS,UNCA,2026-01-03,2026-05-09,127
KS,UNCA,2026-05-14,2026-05-14,1
KS,UNCA,2026-05-17,2026-05-17,1
KS,UNCA,2026-07-14,2026-07-16,3
KS,USN,2010-01-01,2015-03-31,1916
KS,USN,2015-08-04,2015-08-05,2
KS,USN,2016-01-03,2016-01-03,1
