net,sta,dist_km,accel_only,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NS,N182,31.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N149,31.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N093,31.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N155,31.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N196,32.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N158,32.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N073,32.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N201,32.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N160,32.9,False,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NS,N197,32.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N060,33.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N194,33.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N161,33.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N074,33.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N136,33.5,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N089,33.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N192,34.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N168,35.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N094,35.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N075,35.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N164,35.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N195,36.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N167,36.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
