net,sta,start,end,n_days,source
KG,MKL,2023-05-27 00:00:00,2023-05-27 00:00:00,1,NECIS-or-kquake
KG,MKL,2023-11-27 00:00:00,2023-11-27 00:00:00,1,NECIS-or-kquake
KG,MKL,2023-12-07 00:00:00,2023-12-07 00:00:00,1,NECIS-or-kquake
KG,MKL,2023-12-19 00:00:00,2023-12-19 00:00:00,1,NECIS-or-kquake
KG,MKL,2024-05-01 00:00:00,2024-05-01 00:00:00,1,NECIS-or-kquake
KG,MKL,2024-08-22 00:00:00,2024-08-22 00:00:00,1,NECIS-or-kquake
KG,MKL,2024-10-14 00:00:00,2024-10-14 00:00:00,1,NECIS-or-kquake
KG,MKL,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,OJR,2020-12-21 00:00:00,2020-12-31 00:00:00,11,NECIS-or-kquake
KG,OJR,2021-06-16 00:00:00,2021-06-24 00:00:00,9,NECIS-or-kquake
KG,OJR,2021-07-18 00:00:00,2021-07-18 00:00:00,1,NECIS-or-kquake
KG,OJR,2022-10-01 00:00:00,2022-10-01 00:00:00,1,NECIS-or-kquake
KG,OJR,2022-10-18 00:00:00,2022-10-18 00:00:00,1,NECIS-or-kquake
KG,OJR,2022-11-12 00:00:00,2022-11-12 00:00:00,1,NECIS-or-kquake
KG,OJR,2023-01-25 00:00:00,2023-01-25 00:00:00,1,NECIS-or-kquake
KG,OJR,2023-02-01 00:00:00,2023-02-01 00:00:00,1,NECIS-or-kquake
KG,OJR,2024-08-04 00:00:00,2024-08-04 00:00:00,1,NECIS-or-kquake
KG,OJR,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,PKNU,2019-01-23 05:20:00,2026-07-15 05:20:00,2731,NECIS-or-kquake
KG,POHB,2017-11-16 01:00:56,2026-07-15 01:00:56,3164,NECIS-or-kquake
KG,POSB,2019-02-21 08:00:00,2026-07-15 08:00:00,2702,NECIS-or-kquake
KG,RWD,2016-03-28 00:00:00,2026-07-16 00:00:00,3763,NECIS-or-kquake
KG,SIG,2019-01-10 01:40:00,2026-07-15 01:40:00,2744,NECIS-or-kquake
KG,UNI,2020-05-27 00:00:00,2020-05-30 00:00:00,4,NECIS-or-kquake
KG,UNI,2022-10-01 00:00:00,2022-10-01 00:00:00,1,NECIS-or-kquake
KG,UNI,2022-10-18 00:00:00,2022-10-18 00:00:00,1,NECIS-or-kquake
KG,UNI,2022-11-12 00:00:00,2022-11-12 00:00:00,1,NECIS-or-kquake
KG,UNI,2023-01-25 00:00:00,2023-01-25 00:00:00,1,NECIS-or-kquake
KG,UNI,2023-02-01 00:00:00,2023-02-01 00:00:00,1,NECIS-or-kquake
KG,UNI,2024-08-04 00:00:00,2024-08-04 00:00:00,1,NECIS-or-kquake
KG,UNI,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,WSN,2010-01-01 00:00:00,2026-07-16 00:00:00,6041,NECIS-or-kquake
KG,YSB,2011-10-25 00:00:00,2011-11-07 00:00:00,14,NECIS-or-kquake
KG,YSB,2013-04-05 00:00:00,2013-04-07 00:00:00,3,NECIS-or-kquake
KG,YSB,2013-08-18 00:00:00,2013-08-19 00:00:00,2,NECIS-or-kquake
KG,YSB,2015-07-31 00:00:00,2015-08-02 00:00:00,3,NECIS-or-kquake
KG,YSB,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,YSB,2018-03-21 00:00:00,2018-03-22 00:00:00,2,NECIS-or-kquake
KG,YSB,2023-04-09 00:00:00,2023-04-09 00:00:00,1,NECIS-or-kquake
KG,YSB,2023-05-27 00:00:00,2023-05-27 00:00:00,1,NECIS-or-kquake
KG,YSB,2023-11-27 00:00:00,2023-11-27 00:00:00,1,NECIS-or-kquake
KG,YSB,2023-12-02 00:00:00,2023-12-03 00:00:00,2,NECIS-or-kquake
KG,YSB,2023-12-07 00:00:00,2023-12-07 00:00:00,1,NECIS-or-kquake
KG,YSB,2023-12-19 00:00:00,2023-12-19 00:00:00,1,NECIS-or-kquake
KG,YSB,2024-05-01 00:00:00,2024-05-01 00:00:00,1,NECIS-or-kquake
KG,YSB,2024-08-22 00:00:00,2024-08-22 00:00:00,1,NECIS-or-kquake
KG,YSB,2024-10-14 00:00:00,2024-10-14 00:00:00,1,NECIS-or-kquake
KG,YSB,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KS,ADO,2010-01-01 00:00:00,2011-12-19 00:00:00,718,NECIS
KS,ADO2,2011-12-20 00:00:00,2022-07-20 00:00:00,3866,NECIS
KS,ADOA,2015-10-01 00:00:00,2025-12-31 00:00:00,3745,NECIS
KS,ADOA,2026-01-04 00:00:00,2026-05-04 00:00:00,121,NECIS
KS,ADOA,2026-05-06 00:00:00,2026-05-09 00:00:00,4,NECIS
KS,ADOA,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,ADOA,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,ADOA,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,BSA,2010-01-01 00:00:00,2026-07-16 00:00:00,6041,NECIS
KS,BSAA,2018-12-19 00:00:00,2025-12-31 00:00:00,2570,NECIS
KS,BSAA,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,BSAA,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,BSAA,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
KS,BSAA,2026-07-14 00:00:00,2026-07-16 00:00:00,3,NECIS
KS,BUS,2010-01-01 00:00:00,2010-10-31 00:00:00,304,NECIS
KS,BUS2,2010-11-01 00:00:00,2020-03-18 00:00:00,3426,NECIS
KS,BUS3,2024-11-01 00:00:00,2025-12-31 00:00:00,426,NECIS
KS,BUS3,2026-01-04 00:00:00,2026-05-09 00:00:00,126,NECIS
KS,BUS3,2026-05-14 00:00:00,2026-05-14 00:00:00,1,NECIS
KS,BUS3,2026-05-17 00:00:00,2026-05-17 00:00:00,1,NECIS
